query_tx_hash,sender_tx_hash,receiver_tx_hash,sender_address,receiver_address,sender_chain,receiver_chain,bridge_type,status,job_id
0x709e84a5b1b8af1bb41f43dbc35df8cf831ff650da2a06f53ee87ba51e274d18,0x709e84a5b1b8af1bb41f43dbc35df8cf831ff650da2a06f53ee87ba51e274d18,,0xa0c85ffaff895c0cf5aed1993dc6e3195adf593b,0x047669ebb4ec165d2bd5e78706e9aede04bf095a,arb1,eth,cctpv2,PENDING,YXJiMS8weGZlYjU3OGEyZTIwYzNhZjQwYmY2Yzg1M2FmNGQwYjFjODgxZTdmZjZkMDBhYWU3MGI0ZmVjMjI2ZmMxYTRkYTE
0x6d2f19119b4cf903eb1a3cc50db8fafa396997b45b455f0a857e1e9cbeae1dfe,0x6d2f19119b4cf903eb1a3cc50db8fafa396997b45b455f0a857e1e9cbeae1dfe,0x530116138ecebaec217086d5ba047bf5d75435fd612f96b044f7a5c07ccdadff,0xb32740929748ffeeb23506a6cef184c40b5be13d,0xb32740929748ffeeb23506a6cef184c40b5be13d,arb1,hyper-evm,cctpv2,SUCCEEDED,YXJiMS8weDYwYzExNmMyMmEyNzU0YTEwZDczZWVhNmIxNjZhMTA0NGJkYmI5YjI1NmI3MzY5MjIzMDNlOWM2YTJkODE2ZGY
0x6c81022f15e25fee466819aef6c9456b61b88b75c7d7ecccb67e2a8097c4bbd4,0x6c81022f15e25fee466819aef6c9456b61b88b75c7d7ecccb67e2a8097c4bbd4,,0xa0c85ffaff895c0cf5aed1993dc6e3195adf593b,0x047669ebb4ec165d2bd5e78706e9aede04bf095a,arb1,eth,cctpv2,PENDING,YXJiMS8weDhlZjUxN2Y2ZWQ4ZmQ5OWYxYTNhZTYxMzkwOTc3MWRlNDQxZDdmZTQ2ZDRmMjk3YzM3NDhmYzE3ZjYyYTIwZDI
0xa0ed56333e1201ff4be60ba95eb8b9ba184686918b96d33d25ad4575b5511753,0xa0ed56333e1201ff4be60ba95eb8b9ba184686918b96d33d25ad4575b5511753,,0xa0c85ffaff895c0cf5aed1993dc6e3195adf593b,0x047669ebb4ec165d2bd5e78706e9aede04bf095a,arb1,eth,cctpv2,PENDING,YXJiMS8weGZkYTRhZTNlZGJlNDgwNzM3NzQ1NmRhZjJiM2UwN2U4NDc5NDNjMjU2NDUxNzM4NmRjZDY5NDRhMDljODIwNmE
0x5086de877e63d8140d230c0f42fc2dbb7f53ee1af8e2d1c1b9692a63108abe97,0x5086de877e63d8140d230c0f42fc2dbb7f53ee1af8e2d1c1b9692a63108abe97,,0xa0c85ffaff895c0cf5aed1993dc6e3195adf593b,0x047669ebb4ec165d2bd5e78706e9aede04bf095a,arb1,eth,cctpv2,PENDING,YXJiMS8weDU1YjRlNGI0ZWQ0Y2I4OTE5ODEwMGQ5NDQ0NzI3ZTU5ODliOGUyNjM1Zjc5NTRlZjliOGNjYTgyMjgwMTMxMDM
0x5dc0f988259cafb154db8576b4a2d1870a91c167b8699f0886798841b023b660,0x5dc0f988259cafb154db8576b4a2d1870a91c167b8699f0886798841b023b660,,0xa0c85ffaff895c0cf5aed1993dc6e3195adf593b,0x047669ebb4ec165d2bd5e78706e9aede04bf095a,arb1,eth,cctpv2,PENDING,YXJiMS8weGFhMTIyNmIzZTI1YzYwNDgxYjljNTUxMDkwYmM1ZTFlZjQyZGIxNWMwZThiNTYxY2Q1Y2M2YTBkYmMzZjhmNzI
0x0f6d2eb63e41c7558143d7a3c7f2ffcabe31d159d69d2523f1c9a0e923714e20,0x0f6d2eb63e41c7558143d7a3c7f2ffcabe31d159d69d2523f1c9a0e923714e20,,0xa0c85ffaff895c0cf5aed1993dc6e3195adf593b,0x047669ebb4ec165d2bd5e78706e9aede04bf095a,arb1,eth,cctpv2,PENDING,YXJiMS8weDQ5NzY2ODJmMTY1ZTEyZTIxZmRkNzI5Yjc4NDFkZDYyMzg5M2ZlZTU2YTI3OTkxNDhlMmRhZmNjMTk2Y2ExYjE
0xc4695453b329ae3a50f2658ed356669ecdd18efa266c5d7e3a38bb647099aadc,0xc4695453b329ae3a50f2658ed356669ecdd18efa266c5d7e3a38bb647099aadc,,0xa0c85ffaff895c0cf5aed1993dc6e3195adf593b,0x047669ebb4ec165d2bd5e78706e9aede04bf095a,arb1,eth,cctpv2,PENDING,YXJiMS8weDI1MTJkM2E3YzlkMjZlN2RjZGRmMWQ1MmMyMDZhMjdjY2ZkY2E2YWRlMTZmY2Q2OGIwOWQ4ZTA5NDAxZDkyZGU
0x17f92ba7999b950c608bb620b9be457a96ef1c8546b879dfd34f185218dd0479,0x17f92ba7999b950c608bb620b9be457a96ef1c8546b879dfd34f185218dd0479,0x7158d158fa82fdd4654b2903e4d89fc35b51974e16ae5d02ddb5df030077d53d,0x84791118a898975848109b2814e6e083886770d9,0x875d6d37ec55c8cf220b9e5080717549d8aa8eca,arb1,base,cctp,SUCCEEDED,YXJiMS84Mjg5ODk
0xfc0c008277a9fc442c2e855dc957c1d9f1b9fae83f6eb91a39c9ac40cd327863,0xfc0c008277a9fc442c2e855dc957c1d9f1b9fae83f6eb91a39c9ac40cd327863,0x132bebaabd9099a612c84cbe338d5f14694fd1eff5c35ec360e92f009fa77877,0x09b1330e9b793ab5c9701c7bb5a3976dfe64f230,0x09b1330e9b793ab5c9701c7bb5a3976dfe64f230,arb1,base,cctpv2,SUCCEEDED,YXJiMS8weDkxNGFjMDdiOWZjNGFmMGU4ZGRlYTcwYzk3YzJkYjZmZDkyMjE2YTk4NjE0NThiMTcwNGIwMGRhNGZkNWMzMzU
